frame,tick,measured,x,y,z,vx,vy,vz,max_body_span,max_pair_gap
91,25298,1,70.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
92,25576,1,71.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
93,25854,1,71.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
94,26132,1,72.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
95,26410,1,73.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
96,26688,1,74.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
97,26966,1,74.200000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
98,27244,1,75.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
99,27522,1,75.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
100,27800,1,76.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
101,28078,1,77.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
102,28356,1,78.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
103,28634,1,79.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
104,28912,1,79.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
105,29190,1,79.800000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
106,29468,1,80.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
107,29746,1,81.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
108,30024,1,82.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
109,30302,1,83.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
110,30580,1,83.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
111,30858,1,84.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
112,31136,1,85.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
113,31414,1,85.400000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
114,31692,1,86.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
115,31970,1,87.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
116,32248,1,87.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
117,32526,1,88.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
118,32804,1,89.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
119,33082,1,90.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
120,33360,1,91.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
121,33638,1,91.000000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
122,33916,1,91.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
123,34194,1,92.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
124,34472,1,93.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
125,34750,1,94.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
126,35028,1,95.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
127,35306,1,95.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
128,35584,1,96.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
129,35862,1,96.600000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
130,36140,1,97.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
131,36418,1,98.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
132,36696,1,99.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
133,36974,1,99.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
134,37252,1,100.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
135,37530,1,101.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
136,37808,1,102.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
137,38086,1,102.200000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
138,38364,1,103.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
139,38642,1,103.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
140,38920,1,104.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
